datetime,temp1,humidity,temp2,humidity2,pressure
5/17/2025 15:09,nan,nan,21.06,33.93,965.92
5/17/2025 15:12,nan,nan,20.73,33.97,965.98
5/17/2025 15:15,nan,nan,20.35,35.2,965.91
5/17/2025 15:18,nan,nan,20.25,35.03,965.93
5/17/2025 15:21,nan,nan,20.19,35.71,965.87
5/17/2025 15:24,nan,nan,20,35.72,966
5/17/2025 15:27,nan,nan,19.8,35.62,966.04
5/17/2025 15:30,nan,nan,19.7,36.34,966.03
5/17/2025 15:33,nan,nan,19.81,36.88,966.08
5/17/2025 15:36,nan,nan,19.86,35.64,966.11
5/17/2025 15:39,nan,nan,20.11,35.7,966.1
5/17/2025 15:42,nan,nan,20.2,35.28,966.14
5/17/2025 15:45,nan,nan,20.12,34.58,966.14
5/17/2025 15:48,nan,nan,20.08,35.61,966.2
5/17/2025 15:51,nan,nan,20.34,34.52,966.15
5/17/2025 15:54,nan,nan,20.23,34.16,966.08
5/17/2025 15:57,nan,nan,20.22,34.22,966.05
5/17/2025 16:00,nan,nan,20.11,33.55,966.13
5/17/2025 16:03,nan,nan,19.66,35.18,966.06
5/17/2025 16:06,nan,nan,20.15,33.81,966.07
5/17/2025 16:09,nan,nan,19.99,33.45,966.12
5/17/2025 16:12,nan,nan,19.78,33.01,966.07
5/17/2025 16:15,nan,nan,19.99,34.18,966.14
5/17/2025 16:18,nan,nan,19.97,32.89,966.15
5/17/2025 16:21,nan,nan,20.02,33.62,966.15
5/17/2025 16:24,nan,nan,20.28,32.89,966.08
5/17/2025 16:27,nan,nan,20.22,32.43,966.11
5/17/2025 16:30,nan,nan,20.53,33.16,966.13
5/17/2025 16:33,nan,nan,20.39,35.24,966.14
5/17/2025 16:36,nan,nan,20.22,34.47,966.11
5/17/2025 16:39,nan,nan,20.33,34.55,966.11
5/17/2025 16:42,nan,nan,19.94,34.66,966.16
5/17/2025 16:45,nan,nan,20.45,33.75,966.17
5/17/2025 16:48,nan,nan,20.47,34.04,966.18
5/17/2025 16:51,nan,nan,20.18,33.61,966.29
5/17/2025 16:54,nan,nan,20.4,33.45,966.25
5/17/2025 16:57,nan,nan,20.21,33.28,966.3
5/17/2025 17:00,nan,nan,20.23,34.11,966.22
5/17/2025 17:03,nan,nan,20.42,33.64,966.26
5/17/2025 17:06,nan,nan,20.06,34.18,966.31
5/17/2025 17:09,nan,nan,19.75,33.68,966.27
5/17/2025 17:12,nan,nan,19.86,34.75,966.25
5/17/2025 17:15,nan,nan,19.6,34.3,966.27
5/17/2025 17:18,nan,nan,19.32,34.33,966.38
5/17/2025 17:21,nan,nan,19.56,33.15,966.43
